,0
1197,MAR11377
1198,MAR02270
1199,MAR00094
1200,MAR08254
1201,MAR07040
1202,MAR08582
1203,MAR06434
1204,MAR09616
1205,MAR03686
1206,MAR06587
1207,MAR06493
1208,MAR03319
1209,MAR03885
1210,MAR05623
1211,MAR07323
1212,MAR02580
1213,MAR06876
1214,MAR13003
1215,MAR00992
1216,MAR01136
1217,MAR03706
1218,MAR03232
1219,MAR02268
1220,MAR05027
1221,MAR01754
1222,MAR00401
1223,MAR01286
1224,MAR07354
1225,MAR01853
1226,MAR02594
1227,MAR01690
1228,MAR10068
1229,MAR02720
1230,MAR11762
1231,MAR02906
1232,MAR08775
1233,MAR07879
1234,MAR05293
1235,MAR01777
1236,MAR06442
1237,MAR05665
1238,MAR06714
1239,MAR00388
1240,MAR12286
1241,MAR00616
1242,MAR01981
1243,MAR03037
1244,MAR08205
1245,MAR09516
1246,MAR07439
1247,MAR04451
1248,MAR04069
1249,MAR11750
1250,MAR11544
1251,MAR02325
1252,MAR01589
1253,MAR10112
1254,MAR07193
1255,MAR01379
1256,MAR03396
1257,MAR03185
1258,MAR01547
1259,MAR05580
1260,MAR08944
1261,MAR03837
1262,MAR01171
1263,MAR00954
1264,MAR06554
1265,MAR00380
1266,MAR08876
1267,MAR04214
1268,MAR07447
1269,MAR05769
1270,MAR05523
1271,MAR05729
1272,MAR04235
1273,MAR01718
1274,MAR05821
1275,MAR01684
1276,MAR11626
1277,MAR02365
1278,MAR07802
1279,MAR06650
1280,MAR02157
1281,MAR07634
1282,MAR00183
1283,MAR01138
1284,MAR00478
1285,MAR04845
1286,MAR11759
1287,MAR01040
1288,MAR08415
1289,MAR12274
1290,MAR04431
1291,MAR03309
1292,MAR00265
1293,MAR03840
1294,MAR00930
1295,MAR03633
1296,MAR06525
1297,MAR07319
1298,MAR04690
1299,MAR06166
1300,MAR05904
1301,MAR06922
1302,MAR01373
1303,MAR02546
1304,MAR00198
1305,MAR08794
1306,MAR00001
1307,MAR05456
1308,MAR07015
1309,MAR00366
1310,MAR02764
1311,MAR08563
1312,MAR09887
1313,MAR05854
1314,MAR07783
1315,MAR01575
1316,MAR00633
1317,MAR02140
1318,MAR01443
1319,MAR01081
1320,MAR02030
1321,MAR01275
1322,MAR04672
1323,MAR00646
1324,MAR01065
1325,MAR00749
1326,MAR03072
1327,MAR03236
1328,MAR02407
1329,MAR02308
1330,MAR05784
1331,MAR04993
1332,MAR03239
1333,MAR08185
1334,MAR00361
1335,MAR02984
1336,MAR02412
1337,MAR08535
1338,MAR00506
1339,MAR06651
1340,MAR13086
1341,MAR02673
1342,MAR07219
1343,MAR03458
1344,MAR03695
1345,MAR07863
1346,MAR04109
1347,MAR12162
1348,MAR06096
1349,MAR02240
1350,MAR05864
1351,MAR07175
1352,MAR08366
1353,MAR07482
1354,MAR02927
1355,MAR05393
1356,MAR02276
1357,MAR04165
1358,MAR05181
1359,MAR07999
1360,MAR06527
1361,MAR11430
1362,MAR07699
1363,MAR02171
1364,MAR06726
1365,MAR07908
1366,MAR02457
1367,MAR03617
1368,MAR00277
1369,MAR09517
1370,MAR03766
1371,MAR00313
1372,MAR05597
1373,MAR02579
1374,MAR10119
1375,MAR00754
1376,MAR01846
1377,MAR06644
1378,MAR02034
1379,MAR00192
1380,MAR06506
